===============================================================================
  MT PARAMETERS
 STREAMID= 0
   PERIOD= 2^19937 - 1
       NN=     624 MM=     397 WW= 32 RR= 31
     AVEC= 0x9908B0DF WMASK= 0xFFFFFFFF UMASK= 0x80000000 LMASK= 0x7FFFFFFF
      MAG= 0x00000000 0x9908B0DF
@ 7D0F9784 2098173828
@ 6AEBB0B6 1793831094
@ 107A7E37  276463159
@ 15773151  360132945
@ F90A74DA 4178212058
@ 2377363C  595015228
@  A8DE6DE  177071838
@ A6E5D5A2 2800080290
@ 5DCA95F2 1573557746
@ 5C53D917 1548998935
@ 168EC0CF  378454223
@ 570DFC18 1460534296
@ 4288FE6B 1116274283
@ B9833A27 3112385063
@ DD1E7904 3709761796
@ 315A4474  827999348
@ D5631E5F 3580042847
@ 7213CFD6 1913901014
@ 249938A9  614021289
@ FF052817 4278528023
@ 718EB33C 1905177404
@  2B4DEC3   45407939
@ C4964842 3298183234
@ 469F5BAA 1184848810
@ D941297A 3644926330
@ E9DDED03 3923635459
@ 60FAC145 1627046213
@ DB37F217 3677876759
@ 39CD8EE4  969772772
@ 452C33D1 1160524753
@ 5ABE9BE8 1522441192
@ 1AF69E0D  452369933
@ 5B0BD6D7 1527502551
@ 319ECD5F  832490847
@ 3BCD235C 1003299676
@ 3FDBFA77 1071381111
@ AC550EB4 2891255476
@ 3A0A346C  973747308
@ F39919D4 4086897108
@ 6E1F71EE 1847554542
@ E832ED0E 3895651598
@ 84C9D733 2227820339
@ 60A2537D 1621250941
@ ABBDD4B3 2881344691
@ D598DFFD 3583565821
@ D13C8592 3510404498
@ 32A03CC7  849362119
@ 336E5FAF  862871471
@ 2F8E590A  797858058
@ AAEEC5D4 2867774932
@ A8295B34 2821282612
@ C30CE8CA 3272403146
@ EE4C5501 3997979905
@  C77D054  209178708
@ 6B982F24 1805135652
@   678195    6783381
@ A849138F 2823361423
@ 2F3DD18E  792580494
@ FE23A88A 4263749770
@ 2E47871D  776439581
@ E263D69F 3798193823
@ AA1419FE 2853444094
@ A2B0FA92 2729507474
@ 3FE37D3D 1071873341
@ 4F37161E 1329010206
@ 4CD9B682 1289336450
@ C65860F6 3327680758
@ 77E4EDC3 2011491779
@  4C71A18   80157208
@ 36FB25B8  922428856
@ 451411F4 1158943220
@ 635FECF1 1667230961
@ 92B03A64 2461022820
@ 9B7FD167 2608845159
@ 171906D3  387516115
@ C76604E6 3345351910
@ 59257D37 1495629111
@ F444DEAD 4098154157
@ BC26A68D 3156649613
@ D225E427 3525698599
@ F675B085 4134908037
@ 1AA04DB0  446713264
@ 7F683B77 2137537399
@ D79D3278 3617403512
@ 308425A0  813966752
@ 4504D28A 1157943946
@ DE9AE465 3734692965
@ 64275E5A 1680301658
@ BD910789 3180398473
@ D13421F7 3509854711
@ 84CE54B4 2228114612
@ 3C166B93 1008102291
@ 1D040E83  486805123
@ 337C6AE7  863791847
@ BE1630AA 3189125290
@ 3E9A6E14 1050308116
@ E125A856 3777341526
@ FFCE8CA5 4291726501
@ 324F5B19  844061465
@ 5050A29F 1347461791
@ A878AFAD 2826481581
@ 2C6EE4B4  745465012
@ 7A891B36 2055805750
@ FDEDA343 4260209475
@ 8E420BE9 2386693097
@ B1A90F55 2980646741
@ 1AA82DFC  447229436
@ 7BD87288 2077782664
@ 497D36DD 1232942813
@ EFCA266C 4023002732
@ 536338B5 1399011509
@ BB314AF9 3140569849
@ 99C64A66 2579909222
@ E230EDFF 3794857471
@ 35B07A32  900758066
@ AC172BC3 2887199683
@ 66890DCD 1720257997
@ C8B7E513 3367494931
@ 9F14818D 2668921229
@ 38F45E55  955539029
@ E39D2420 3818726432
@ 41E7B802 1105704962
@ E7D097D7 3889207255
@ 87BDE5DB 2277369307
@ A3B40719 2746484505
@ 6903A4F1 1761846513
@ 8FE17270 2413916784
@ A00BC9AD 2685127085
@ FCBD3397 4240257943
@ 458AD6F3 1166726899
@ FB3F1663 4215215715
@ B7B4FE23 3082092067
@ EC0FDA7A 3960461946
@ 6324016B 1663304043
@ 7C6C5059 2087473241
@ F81C1522 4162589986
@ 957286BA 2507310778
@ 5E27C862 1579665506
@ 2DBB10A2  767234210
@ 39DB5731  970676017
@ 1D567DAA  492207530
@ 55EE48F2 1441679602
@ 4E5E0742 1314785090
@ C27142CA 3262202570
@ CBACAE9E 3417091742
@ 5D1A105A 1561989210
@ B37E6BBC 3011406780
@ 4457DE32 1146609202
@ C2731190 3262321040
@ 51F2E26B 1374872171
@ 616F5EC8 1634688712
@ 4C524088 1280458888
@ 84EB772E 2230023982
@ 18FE5F9C  419323804
@ C27BE658 3262899800
@  25F0B8E   39783310
@ 61D91E60 1641619040
@ 65599112 1700368658
@ 839A9784 2207946628
@ 9942F04B 2571300939
@ 907C8596 2424079766
@ 2E824B62  780290914
@ A1D696D8 2715195096
@ CA1DE87F 3390957695
@  9B97E72  163151474
@ 89A8B34E 2309534542
@ 6EDDA0F8 1860018424
@ 21202673  555755123
@ 10B55868  280320104
@ 5FA7C76B 1604831083
@ A1B56FAF 2713022383
@ 670E4131 1728987441
@ D8F5502E 3639955502
@ 25233991  623065489
@ E43445A3 3828630947
@ FED6A20A 4275479050
@ D19733F7 3516347383
@ 8BB5DB5B 2343951195
@ 90E132FC 2430677756
@ 25E17E90  635534992
@ E697AC65 3868699749
@ 302FDA43  808442435
@ B7064F65 3070644069
@ FF3CAAF3 4282166003
@ 7CC369C7 2093181383
@ 789D0230 2023555632
@ 5D7FE246 1568662086
@ CBFD430C 3422372620
@ F66FCDEE 4134522350
@ B3D37457 3016979543
@ C24547AA 3259320234
@ AC23DA09 2888030729
@ BDDB1DF4 3185253876
@ FDD7D1FB 4258779643
@ 4B8987B3 1267304371
@ 3CF260E1 1022517473
@ 30A24D85  815943045
@ 375FB86C  929020012
@ B287E74A 2995251018
@ C8F1B360 3371283296
@ D70E2779 3608029049
@ 784FA37B 2018485115
@  7477485  122123397
@ A787685E 2810669150
@ 541FBAF2 1411365618
@ 49D05A21 1238391329
@ 46BCECAC 1186786476
@ BC1C4443 3155969091
@ 85B0917E 2242941310
@ 693C3AC2 1765554882
@ 10A30D08  279121160
@ FF192733 4279838515
@ 61D88012 1641578514
@ E2474EAF 3796324015
@   CBB899   13351065
@  62B8B3A  103516986
@ 5FF1FCDB 1609694427
@ 20DDE01F  551411743
@ 94A3EF59 2493771609
@ 4E75B597 1316337047
@ EA677D68 3932650856
@ F9B9C06B 4189700203
@ 1B9EE46C  463397996
@ AF1A479A 2937735066
@ 6E9A7611 1855616529
@ 9C9284F6 2626847990
@  348A296   55091862
@ E3E3B5AB 3823351211
@ 2CE8B80A  753448970
@ F11A7EFC 4045045500
@ 4BF1A59C 1274127772
@ 4301A8F0 1124182256
@  57C6A80   92039808
@ 7EBD7550 2126345552
@ 1963D609  425973257
@ 17064918  386287896
@ 9A5E486F 2589870191
@ 767ADA6E 1987762798
@ F379835D 4084826973
@ 817D0EED 2172456685
@ C8A9FC9F 3366583455
@ D6C0E87D 3602966653
@ 8DC9A94F 2378803535
@ ACF56951 2901764433
@ DD8BD5EE 3716929006
@ DD248898 3710159000
@ 9E286BC3 2653449155
@ CED01226 3469742630
@ B88FFE3C 3096444476
@ EA662CAD 3932564653
@ 9AB07C59 2595257433
@ 13032AC1  318974657
@ BB873D74 3146202484
@ 32E0776E  853571438
@  89B5F90  144400272
@ E09D5B09 3768408841
@ 2EA60DA1  782634401
@ 80CFE80B 2161109003
@ 21FA1CE2  570039522
@ 706DC2F1 1886241521
@   D96E10   14249488
@ 84F75F04 2230804228
@ 5FA97783 1604941699
@ EA2B6877 3928713335
@ E9C417ED 3921942509
@ 807F00AC 2155806892
@  802442E  134366254
@ 19A90570  430507376
@ 72AE16CA 1924011722
@ 107E4FA1  276713377
@  BB6135E  196481886
@ D775A370 3614810992
@ 5FF6F941 1610021185
@ 6A707D8A 1785757066
@ 32BE82F8  851346168
@ E02E92E3 3761148643
@ ADF9E5BA 2918835642
@ C88902F1 3364422385
@ B38BD032 3012284466
@ DEAE3543 3735958851
@ 9D8B53E4 2643153892
@ E138FC67 3778608231
@ 4565A728 1164289832
@  C45115D  205853021
@ AB6DFD67 2876112231
@ D0D19D8A 3503398282
@ B77C9C49 3078397001
@ CEF31821 3472037921
@ 683E0485 1748894853
@ A35E3A23 2740861475
@ 12D6A276  316056182
@ 62F81A9C 1660426908
@  A10FE92  168885906
@ 38FB7C97  956005527
@ ED7C6DE5 3984354789
@ 21C46EDB  566521563
@ 3BABB813 1001109523
@ 488587AF 1216710575
@ AFF84A55 2952284757
@ E48CCE39 3834433081
@ E5098CAD 3842608301
@ 9310CF58 2467352408
@ ECE52930 3974441264
@ C21BCC91 3256601745
@ 540108C4 1409353924
@ 4F44BCDB 1329904859
@ 898A9365 2307560293
@ BA470A57 3125217879
@ D7F15FF8 3622920184
@ E473AB14 3832785684
@ E76833FF 3882365951
@ 89997B1B 2308537115
@ 9E7F7C54 2659155028
@ 5673FCD9 1450441945
@ D289F943 3532257603
@ BDEB72E2 3186324194
@ 490D3961 1225603425
@ 4302A415 1124246549
@  A7AA0C1  175808705
@ B35BDE2F 3009142319
@ A6B2690F 2796710159
@ D9ACF25B 3651990107
@  9950B7E  160762750
@ 71621B83 1902254979
@ 653F519C 1698648476
@ 43A66E3D 1134980669
@ 1DA1D26A  497144426
@ C4DB0A37 3302689335
@ F1D8513E 4057485630
@ D6C9840B 3603530763
@ F39E866B 4087252587
@ 197FE72C  427812652
@ 11196229  286876201
@ 311007B0  823134128
@ 61028494 1627554964
@ DF40C6A7 3745564327
@ 9A54746C 2589226092
@ FA75CE2E 4202024494
@  3BF7309   62878473
@ C33D7966 3275585894
@ EDA6AF60 3987124064
@ A6672387 2791777159
@ 72411B87 1916869511
@ 9A211F11 2585861905
@ 51F56DC7 1375038919
@ 53A684E0 1403421920
@  397541A   60249114
@ E33486F2 3811870450
@ B4186699 3021498009
@ 9BBF1CB2 2612993202
@ 1F86E0F1  528933105
@ A459FEA9 2757361321
@ C729C354 3341402964
@ 9C466F44 2621861700
@ 10479AFE  273128190
@ EF53E2D2 4015252178
@ B8769C4A 3094781002
@ 60A7FA28 1621621288
@ 8B551DA9 2337611177
@ 6B17BF70 1796718448
@ 4B0A4A73 1258965619
@ FCD67534 4241913140
@ 7F77D788 2138560392
@ B422F68F 3022190223
@ F8CCF23C 4174180924
@ 1AD3E613  450094611
@ C33054E4 3274724580
@ 24C8F64A  617150026
@ A135D8B9 2704660665
@ 5799DA51 1469700689
@ 4FF771CB 1341616587
@ 15430A3F  356715071
@ 46DB7EC8 1188789960
@ 87D4C88F 2278869135
@ 694BB4C8 1766569160
@ A6A5FF3B 2795896635
@  37255C0   57824704
@ AC77403C 2893496380
@ 49A7A6D5 1235723989
@ 61326BCB 1630694347
@ EA1FEBCA 3927960522
@ 19905CE4  428891364
@ 6C208616 1814070806
@ 88601B2B 2287999787
@ F5ECDDC0 4125941184
@ EC8475D1 3968103889
@ D3853B52 3548724050
@ 3D21610B 1025597707
@ 53B3A29C 1404281500
@ 77575565 2002212197
@  5825B57   92429143
@ 89EBFB88 2313943944
@ 8F3C2F00 2403086080
@ B32EAD1A 3006180634
@ D44F8744 3561981764
@ 63A692B2 1671860914
@ 69697BAE 1768520622
@ 6B7FE1C9 1803542985
@ 325B5BF1  844848113
@ B32E0E11 3006139921
@ 54187523 1410888995
@ 4501DC49 1157749833
@ 7EB3AED1 2125704913
@ 6AB0EB88 1789979528
@ 6B3E94BF 1799263423
@ 2C2D293B  741157179
@ 8F668BA5 2405862309
@ 2DB81BB2  767040434
@ 9E43C4AE 2655241390
@ DA5B5B13 3663420179
@ 81763A88 2172009096
@ 95B90733 2511931187
@ 642B0BCA 1680542666
@  DD1DD3A  231857466
@ 44D79C88 1154981000
@  95E327F  157168255
@ 56ABFD80 1454112128
@ D0F75CE3 3505872099
@ 730607C6 1929775046
@ 89A6FD0E 2309422350
@ 7FC09CD8 2143329496
@ B078F466 2960716902
@ 184BA518  407610648
@ AF1FF8E1 2938108129
@ 99E25F5F 2581749599
@ 201E00A3  538837155
@ 8BA1AE03 2342628867
@ 19A9942B  430543915
@ 2C1E6198  740188568
@ 737F2878 1937713272
@ C59A2B1C 3315215132
@ 7C4F8850 2085587024
@ F0409A77 4030765687
@ 2DA9101D  766054429
@ D1AAF46F 3517641839
@ 291C51AF  689721775
@ 4D234C8A 1294158986
@ 68810C4A 1753287754
@ FA7E9B84 4202601348
@ 75B5DCB8 1974852792
@  1FE8B9F   33459103
@ D4ACB1EF 3568087535
@ BB6FF83B 3144677435
@ 64805089 1686130825
@ F6763925 4134943013
@ B327EDC3 3005738435
@ D688DBCA 3599293386
@ 196CF19E  426570142
@ 2CF2B856  754104406
@ DA34C994 3660892564
@ 7518948F 1964545167
@ 3170A8D1  829466833
@ 30F86E08  821587464
@ 681C6BAC 1746693036
@ 3BFDDB0C 1006492428
@ 5F168B17 1595312919
@ 4AE631B1 1256599985
@ 3D105D00 1024482560
@ 7116B018 1897312280
@ AD06C9A1 2902903201
@ 293BE0E9  691790057
@ 3DD73C5B 1037515867
@ BD5A98E8 3176831208
@ 75536A9F 1968401055
@ 818D1508 2173506824
@ 40E9AA2E 1089055278
@ 68367BE3 1748401123
@ AF51E5F2 2941380082
@ 39B8CCC2  968412354
@ 6C67FB45 1818753861
@ B13771E2 2973200866
@ E706549E 3875951774
@ 42B7FC98 1119354008
@ EDBD44EB 3988604139
@ 622D9985 1647155589
@ 85107F0A 2232450826
@ CFC9061B 3486058011
@ D9E6D66B 3655784043
@ E011BB5E 3759258462
@ 327EB11E  847163678
@ 407ECDD9 1082052057
@ 3AFAD29E  989516446
@ AB283FFB 2871541755
@ BE83D61E 3196311070
@ EA3E7A46 3929963078
@ 273B2541  658187585
@ DA729E01 3664944641
@ 81A62472 2175149170
@ 8359EEDB 2203709147
@ A4457261 2756014689
@ 926AD13F 2456473919
@ E7E0C4FE 3890267390
@ 4D1DA2D8 1293787864
@ A8B3AED0 2830347984
@ B658EC23 3059280931
@ F7E24A58 4158802520
@ 5D154E58 1561677400
@ 9A2BF0BA 2586570938
@ 2EB455B0  783570352
@ 50CB61F3 1355506163
@  1E095A2   31495586
@ E1DE399F 3789437343
@ C71CBD35 3340549429
@ 7CB90A7E 2092501630
@ 356E4628  896419368
@ 280991F0  671715824
@ D26E64A1 3530450081
@ D6C9DF5A 3603554138
@ 3EF127A4 1055991716
@ CD2D747B 3442308219
@ 595F8EE8 1499434728
@ BA946959 3130288473
@ D8EE7838 3639507000
@  10F24D0   17769680
@ 86B0EAEC 2259741420
@ 1D078587  487032199
@ FBF516EA 4227143402
@ DC2A79F8 3693771256
@ 7015E404 1880482820
@ E9EFDC2C 3924810796
@ 16BCA751  381462353
@ EF7B9DF7 4017855991
@ 9227157F 2452034943
@ A31E6F81 2736680833
@ 83B7E291 2209866385
@ 7EE5C10B 2128986379
@ 1A196D7C  437874044
@ 23829142  595759426
@ 263FE2C2  641721026
@ 618461AC 1636065708
@ E8681BA5 3899136933
@ 258B3130  629879088
@ D60CF96A 3591174506
@ 14FADAC6  351984326
@ 9D48A438 2638783544
@ 8BFA6A79 2348444281
@ 8B920D34 2341604660
@ 7E98A7FC 2123933692
@  88CC57D  143443325
@ 5AF407F0 1525942256
@ 15BC4713  364660499
@ 23B64B00  599149312
@ 37F96D03  939093251
@ 5AC72F49 1523003209
@  65A9A89  106601097
@ 16724CAC  376589484
@ 503EA2FC 1346282236
@ 4D548E23 1297387043
@ 2D92D724  764598052
@ DEFE753F 3741218111
@ 37A36C6A  933457002
@ 70708D68 1886424424
@ BFE7ABA8 3219631016
@ 1F510C48  525405256
@ B3A995E3 3014235619
@ 1342DF6D  323149677
@ 7986DDB9 2038881721
@ F4630113 4100129043
@ A9F9B81D 2851715101
@ B1DCA7AE 2984028078
@ 70915CE7 1888574695
@ 780E2C35 2014194741
@ D1859A18 3515193880
@ F92E7D5A 4180573530
@ CE573F6B 3461824363
@ 9D79A6E9 2641995497
@ BD7F3425 3179230245
@ ACFD81C7 2902294983
@ 8429A008 2217320456
@ F0DA82BB 4040852155
@ 6A5FB409 1784656905
@ C567B073 3311906931
@  5371EDA   87498458
@ A417042A 2752971818
@ 9D162579 2635474297
@ A8C0EB06 2831215366
@ DB7A6342 3682231106
@ AE0C5575 2920043893
@ E0E256A8 3772929704
@ A7DE78A0 2816374944
@ 12797538  309949752
@ 8E154606 2383758854
@  93B23BF  154870719
@ 16F4562D  385111597
@ 47067058 1191604312
@ 6DB6DC93 1840700563
@ 33FC94D2  872191186
@ AE60549D 2925548701
@ 4E1B4FCB 1310412747
@ 7D4AFF37 2102066999
@ 59B050D1 1504727249
@ D50B787E 3574298750
@ 4700BA54 1191230036
@ C6848BA2 3330575266
@ BD8F6801 3180292097
@ D2F62909 3539347721
@ 289CDE1E  681369118
@ C5003778 3305125752
@ D973A07D 3648233597
@ 38A099D8  950049240
@ F8BEDBDD 4173257693
@ 68E9601D 1760124957
@ 1E86CF6D  512151405
@ 2899E89C  681175196
